temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree
27.5,81.5,12.8,20.5,281
27.5,81.5,9.6,15.5,287
26.3,79.3,11.4,18.4,317
25.6,78.1,10.5,16.9,297
27.2,81,10.1,16.2,274
25.9,78.6,9.8,15.8,287
28,82.4,9.4,15.1,280
27.7,81.9,11,17.6,277
30,86,11.6,18.7,288
26,78.8,11.9,19.1,300
30.6,87.1,9.8,15.8,284
30.3,86.5,5.4,8.6,316
28.3,82.9,6.7,10.8,300
27.2,81,8.9,14.4,263
30.1,86.2,11.2,18,288
30,86,11.6,18.7,288
26,78.8,11.9,19.1,300
26.5,79.7,14.1,22.7,255
28.4,83.1,12.5,20.2,285
26.9,80.4,11.4,18.4,288
26.7,80.1,15,24.1,240
28.1,82.6,11,17.6,280
27.4,81.3,12.5,20.2,273
26,78.8,11.9,19.1,300
27,80.6,14.8,23.8,247
27.2,81,8.9,14.4,263
29.9,85.8,10.5,16.9,259
31.6,88.9,13,20.9,271
32.4,90.3,12.8,20.5,282
27.3,81.1,13,20.9,249
26.7,80.1,10.7,17.3,329
28.2,82.8,10.1,16.2,285
27,80.6,9.6,15.5,296
31.1,88,13,20.9,278
28.8,83.8,10.3,16.6,294
26,78.8,11.9,19.1,300
32,89.6,10.5,16.9,320
30.1,86.2,9.2,14.8,281
28.5,83.3,12.3,19.8,266
26.9,80.4,9.2,14.8,288
30.8,87.4,10.7,17.3,261
27,80.6,7.6,12.2,311
26.9,80.4,13,20.9,262
27.7,81.9,13.4,21.6,269
30.2,86.4,11.9,19.1,280
28.6,83.5,8.3,13.3,278
27.6,81.7,7.2,11.5,299
27.7,81.9,8.1,13,296
27.6,81.7,9.6,15.5,287
25.5,77.9,10.1,16.2,281
25.5,77.9,7.6,12.2,287
22.2,72,6.7,10.8,317
24.9,76.8,12.3,19.8,297
29,84.2,8.1,13,274
22.7,72.9,7.8,12.6,287
23.4,74.1,6.9,11.2,280
26.5,79.7,10.3,16.6,277
24.9,76.8,5.8,9.4,288
28,82.4,5.6,9,300
24.9,76.8,5.8,9.4,284
25,77,2.2,3.6,316
26.6,79.9,4.5,7.2,300
25,77,2.2,3.6,263
26.4,79.5,3.6,5.8,288
27.6,81.7,2.2,3.6,288
27.6,81.7,3.8,6.1,300
26.5,79.7,6.3,10.1,255
25,77,2.2,3.6,285
25,77,9.4,15.1,288
22.6,72.7,2.7,4.3,240
25.9,78.6,2.2,3.6,280
25,77,2.2,3.6,273
23.9,75,2.5,4,300
26.7,80.1,7.6,12.2,247
25.5,77.9,3.4,5.4,263
23.8,74.8,3.1,5,259
25.6,78.1,2.2,3.6,271
26.6,79.9,2.2,3.6,282
27.7,81.9,2.7,4.3,249
26.8,80.2,2.2,3.6,329
26.6,79.9,4,6.5,285
27.1,80.8,2.9,4.7,296
26.6,79.9,3.6,5.8,278
27.9,82.2,2.2,3.6,294
27.2,81,4,6.5,300
25.3,77.5,2.2,3.6,320
29,84.2,2.2,3.6,281
26.6,79.9,2.2,3.6,266
25.6,78.1,2.2,3.6,288
26.5,79.7,2.2,3.6,261
28.6,83.5,2.2,3.6,311
28.2,82.8,3.6,5.8,262
27.7,81.9,3.8,6.1,269
27.9,82.2,4.7,7.6,280
26.8,80.2,2.2,3.6,278
28.4,83.1,3.1,5,299
27.7,81.9,3.8,6.1,296
25.2,77.4,2.2,3.6,287
